time,weather,temperature,humidity,windDirection,windSpeed
2017-01-10 10:00,晴天,1,41,东北风,7级
2017-01-10 11:00,局部多云,2,38,东风,8级
2017-01-10 12:00,局部多云,3,34,东风,8级
2017-01-10 13:00,局部多云,3,30,东风,7级
2017-01-10 14:00,局部多云,4,26,东风,7级
2017-01-10 15:00,晴天,3,29,东风,7级
2017-01-10 16:00,局部多云,2,32,东风,6级
2017-01-10 17:00,晴天,1,36,东风,5级
2017-01-10 18:00,晴天,0,37,东风,5级
2017-01-10 19:00,晴天,-1,38,东风,5级
2017-01-10 20:00,晴朗,-2,38,东南风,5级
2017-01-10 21:00,晴朗,-4,38,东南风,5级
2017-01-10 22:00,晴朗,-6,38,东南风,5级
2017-01-10 23:00,晴朗,-8,37,东南风,5级
2017-01-11 00:00,晴朗,-2,43,南风,5级
2017-01-11 01:00,晴朗,-2,43,南风,5级
2017-01-11 02:00,晴朗,-2,42,南风,5级
2017-01-11 03:00,晴天,-2,42,南风,5级
2017-01-11 04:00,晴天,-2,43,南风,5级
2017-01-11 05:00,晴天,-2,43,南风,6级
2017-01-11 06:00,局部多云,-2,45,南风,6级
2017-01-11 07:00,晴天,-1,48,南风,6级
2017-01-11 08:00,局部多云,-1,50,南风,6级
2017-01-11 09:00,局部多云,1,47,南风,7级
2017-01-11 10:00,局部多云,3,44,南风,7级
2017-01-11 11:00,局部多云,4,41,西南风,8级
2017-01-11 12:00,晴天,5,41,西南风,8级
2017-01-11 13:00,局部多云,6,41,西南风,8级
2017-01-11 14:00,晴天,7,41,西南风,8级
2017-01-11 15:00,晴天,7,47,西南风,7级
2017-01-11 16:00,晴天,6,53,西南风,7级
2017-01-11 17:00,晴朗,5,59,西南风,5级
2017-01-11 18:00,晴朗,4,63,西南风,6级
2017-01-11 19:00,晴朗,2,67,西南风,6级
2017-01-11 20:00,晴天,1,71,南风,6级
2017-01-11 21:00,晴天,1,72,西南风,5级
2017-01-11 22:00,晴天,0,73,西南风,5级
2017-01-11 23:00,晴天,0,75,西南风,5级
2017-01-12 00:00,晴朗,0,69,西南风,6级
2017-01-12 01:00,晴朗,0,72,西南风,5级
2017-01-12 02:00,晴朗,-1,75,西南风,5级
2017-01-12 03:00,晴朗,0,78,西风,4级
2017-01-12 04:00,晴朗,0,81,西北风,3级
2017-01-12 05:00,晴朗,1,83,北风,1级
2017-01-12 06:00,晴朗,1,79,西风,2级
2017-01-12 07:00,晴朗,1,74,南风,3级
2017-01-12 08:00,晴朗,1,70,东风,4级
2017-01-12 09:00,晴朗,3,58,东风,4级
2017-01-12 10:00,晴朗,5,46,东风,4级
2017-01-12 11:00,晴朗,7,33,东北风,4级
2017-01-12 12:00,晴朗,8,30,南风,3级
2017-01-12 13:00,晴朗,9,28,西风,3级
2017-01-12 14:00,晴朗,11,25,北风,2级
2017-01-12 15:00,晴朗,9,29,西北风,2级
2017-01-12 16:00,晴朗,8,32,西北风,3级
2017-01-12 17:00,晴朗,7,36,西北风,3级
2017-01-12 18:00,晴朗,5,38,西风,3级
2017-01-12 19:00,晴朗,4,40,西风,2级
2017-01-12 20:00,晴朗,3,42,西南风,1级
2017-01-12 21:00,晴朗,3,41,西南风,2级
2017-01-12 22:00,晴朗,2,40,西风,3级
2017-01-12 23:00,晴朗,2,39,西风,4级
2017-01-13 00:00,晴朗,3,43,西南风,5级
2017-01-13 01:00,晴朗,3,42,西风,5级
2017-01-13 02:00,晴朗,2,42,西风,5级
2017-01-13 03:00,晴朗,1,43,南风,5级
2017-01-13 04:00,晴朗,0,44,东南风,6级
2017-01-13 05:00,晴朗,-1,44,东北风,6级
2017-01-13 06:00,晴朗,-1,42,东北风,6级
2017-01-13 07:00,晴朗,-2,40,东北风,6级
2017-01-13 08:00,晴朗,-2,38,东北风,6级
2017-01-13 09:00,晴朗,-1,33,东北风,7级
2017-01-13 10:00,晴朗,1,27,东北风,7级
2017-01-13 11:00,晴朗,2,22,东北风,8级
2017-01-13 12:00,晴朗,3,21,东北风,8级
2017-01-13 13:00,晴朗,4,20,东北风,8级
2017-01-13 14:00,晴朗,4,19,北风,8级
2017-01-13 15:00,晴朗,4,20,北风,7级
2017-01-13 16:00,晴朗,3,21,东北风,7级
2017-01-13 17:00,晴朗,2,23,东北风,6级
2017-01-13 18:00,晴朗,1,23,东北风,6级
2017-01-13 19:00,晴朗,0,22,东北风,6级
2017-01-13 20:00,晴朗,-1,22,东风,5级
2017-01-13 21:00,晴朗,-1,22,东风,5级
2017-01-13 22:00,晴朗,-1,22,东风,5级
2017-01-13 23:00,晴朗,-2,22,东风,4级
2017-01-14 00:00,晴朗,0,25,东风,3级
2017-01-14 01:00,晴朗,0,25,东风,3级
2017-01-14 02:00,晴朗,0,25,东风,2级
2017-01-14 03:00,晴朗,-1,25,东北风,3级
2017-01-14 04:00,晴朗,-2,26,东北风,3级
2017-01-14 05:00,晴朗,-2,26,东北风,4级
2017-01-14 06:00,晴朗,-2,26,东北风,4级
2017-01-14 07:00,晴朗,-3,26,东北风,5级
2017-01-14 08:00,晴朗,-3,26,东北风,5级
2017-01-14 09:00,晴朗,-1,25,东北风,5级
2017-01-14 10:00,晴朗,1,23,东北风,5级
2017-01-14 11:00,晴朗,3,22,东北风,6级
2017-01-14 12:00,晴朗,3,21,东北风,6级
2017-01-14 13:00,晴朗,4,21,东北风,6级
2017-01-14 14:00,晴朗,4,20,东北风,6级
2017-01-14 15:00,晴天,3,24,东北风,6级
2017-01-14 16:00,晴天,2,28,东北风,6级
2017-01-14 17:00,晴天,1,32,东北风,6级
2017-01-14 18:00,局部多云,0,37,东风,6级
2017-01-14 19:00,晴天,-1,42,东风,6级
2017-01-14 20:00,局部多云,-3,48,东风,6级
2017-01-14 21:00,多云,-3,53,东风,6级
2017-01-14 22:00,局部多云,-3,59,东风,5级
2017-01-14 23:00,多云,-3,65,东风,5级
2017-01-15 00:00,晴天,-4,69,东风,6级
2017-01-15 01:00,局部多云,-4,70,东风,6级
2017-01-15 02:00,晴天,-4,71,东风,5级
2017-01-15 03:00,晴天,-4,71,东风,5级
2017-01-15 04:00,晴朗,-4,71,东风,5级
2017-01-15 05:00,晴朗,-4,70,东风,5级
2017-01-15 06:00,晴朗,-4,69,东南风,4级
2017-01-15 07:00,晴朗,-4,67,东南风,4级
2017-01-15 08:00,晴朗,-4,66,东南风,4级
2017-01-15 09:00,晴天,-2,56,东南风,3级
2017-01-15 10:00,晴天,0,47,南风,3级
2017-01-15 11:00,晴天,2,37,南风,2级
2017-01-15 12:00,晴天,3,35,西南风,2级
2017-01-15 13:00,晴天,4,33,西南风,3级
2017-01-15 14:00,晴朗,5,31,西风,3级
2017-01-15 15:00,晴朗,4,35,南风,2级
2017-01-15 16:00,晴天,3,40,东风,2级
2017-01-15 17:00,晴天,1,44,北风,1级
2017-01-15 18:00,多云,1,43,东北风,2级
2017-01-15 19:00,晴天,0,43,东风,3级
2017-01-15 20:00,多云,-1,42,东风,4级
2017-01-15 21:00,阴天,-1,42,东风,4级
2017-01-15 22:00,多云,-1,43,东南风,3级
2017-01-15 23:00,阴天,-1,43,东南风,3级
2017-01-16 00:00,局部多云,-1,53,东南风,4级
2017-01-16 01:00,多云,-1,55,东南风,4级
2017-01-16 02:00,局部多云,-2,58,南风,4级
2017-01-16 03:00,晴天,-2,59,南风,4级
2017-01-16 04:00,局部多云,-2,61,南风,4级
2017-01-16 05:00,晴天,-2,62,南风,4级
2017-01-16 06:00,晴朗,-2,62,南风,4级
2017-01-16 07:00,晴朗,-1,61,南风,4级
2017-01-16 08:00,晴朗,-1,61,南风,4级
2017-01-16 09:00,晴朗,1,55,南风,4级
2017-01-16 10:00,晴朗,3,48,南风,4级
2017-01-16 11:00,晴朗,5,42,南风,4级
2017-01-16 12:00,晴朗,6,40,南风,4级
2017-01-16 13:00,晴朗,7,39,西南风,4级
2017-01-16 14:00,晴朗,7,37,西南风,4级
2017-01-16 15:00,晴朗,6,42,西南风,4级
2017-01-16 16:00,晴朗,5,47,西南风,3级
2017-01-16 17:00,晴朗,4,52,西南风,3级
2017-01-16 18:00,晴天,3,54,南风,3级
2017-01-16 19:00,晴天,2,56,南风,2级
2017-01-16 20:00,晴天,0,58,南风,2级
2017-01-16 21:00,多云,0,57,南风,3级
