id,time,dayPower,capacity,lat,lng
293,2017-07-01,224,50,36.7302,117.631
293,2017-07-02,244,50,36.7302,117.631
293,2017-07-03,238,50,36.7302,117.631
293,2017-07-04,143,50,36.7302,117.631
293,2017-07-05,159,50,36.7302,117.631
293,2017-07-06,131,50,36.7302,117.631
293,2017-07-07,256,50,36.7302,117.631
293,2017-07-08,305,50,36.7302,117.631
293,2017-07-09,147,50,36.7302,117.631
293,2017-07-10,301,50,36.7302,117.631
293,2017-07-11,297,50,36.7302,117.631
293,2017-07-12,287,50,36.7302,117.631
293,2017-07-13,268,50,36.7302,117.631
293,2017-07-14,206,50,36.7302,117.631
293,2017-07-15,92,50,36.7302,117.631
293,2017-07-16,91,50,36.7302,117.631
293,2017-07-17,145,50,36.7302,117.631
293,2017-07-18,87,50,36.7302,117.631
293,2017-07-19,181,50,36.7302,117.631
293,2017-07-20,285,50,36.7302,117.631
293,2017-07-21,185,50,36.7302,117.631
293,2017-07-22,191,50,36.7302,117.631
293,2017-07-23,185,50,36.7302,117.631
293,2017-07-24,105,50,36.7302,117.631
293,2017-07-25,186,50,36.7302,117.631
293,2017-07-26,131,50,36.7302,117.631
293,2017-07-27,26,50,36.7302,117.631
293,2017-07-28,98,50,36.7302,117.631
293,2017-07-29,41,50,36.7302,117.631
293,2017-07-30,76,50,36.7302,117.631
293,2017-07-31,183,50,36.7302,117.631
293,2017-08-01,217,50,36.7302,117.631
293,2017-08-02,110,50,36.7302,117.631
293,2017-08-03,225,50,36.7302,117.631
293,2017-08-04,246,50,36.7302,117.631
293,2017-08-05,250,50,36.7302,117.631
293,2017-08-06,238,50,36.7302,117.631
293,2017-08-07,234,50,36.7302,117.631
293,2017-08-08,279,50,36.7302,117.631
293,2017-08-09,242,50,36.7302,117.631
293,2017-08-10,286,50,36.7302,117.631
293,2017-08-11,284,50,36.7302,117.631
293,2017-08-12,204,50,36.7302,117.631
293,2017-08-13,92,50,36.7302,117.631
293,2017-08-14,86,50,36.7302,117.631
293,2017-08-15,237,50,36.7302,117.631
