stationCode,changZhanId,title,longitude,latitude
ZQ-CF-004,200,东横河,117.436,36.5523
ZQ-CF-005,201,南横河,117.434,36.5527
ZQ-CF-006,202,赵庄村,117.354,36.5511
ZQ-CF-007,203,凹峪,117.379,36.5468
ZQ-CF-008,204,没口村,117.366,36.556
ZQ-HH-001,205,岳家,117.29,37.0434
ZQ-HH-002,206,曹徐寨,117.331,36.9744
ZQ-HH-003,207,西李,117.279,36.981
ZQ-HH-004,208,黄河镇西张,117.321,37.0595
ZQ-HH-005,209,杨家,117.336,37.0689
ZQ-HH-006,210,黄河镇赵家,117.299,36.9997
ZQ-HH-007,211,南房,117.262,36.9686
ZQ-DZ-001,212,下琴子,117.416,36.4978
ZQ-DZ-002,213,西庵,117.467,36.5273
ZQ-DZ-003,214,上秋林,117.482,36.4912
ZQ-DZ-004,215,垛庄石匣,117.46,36.5156
ZQ-GZ-001,217,徐家井,117.617,36.6434
ZQ-GZ-002,218,南辛村,117.639,36.6563
ZQ-GZ-003,219,矿井村,117.699,36.624
ZQ-GZ-004,220,郭家楼,117.624,36.5948
ZQ-WZ-002,222,朱公泉,117.621,36.5657
ZQ-WZ-004,224,西窑头村,117.494,36.6031
ZQ-WZ-005,225,东田广,117.563,36.5399
ZQ-PJ-001,226,上柏村,117.69,36.7555
ZQ-PJ-004,227,小佛塔头&西埠,117.716,36.7188
ZQ-PJ-006,228,常坡村,117.717,36.6988
ZQ-PJ-008,229,盖州&瓦屋,117.741,36.7334
CQ-MS-001,230,中义合,116.787,36.3983
CQ-MS-002,231,西太平,116.788,36.3566
CQ-MS-003,232,小崔,116.771,36.3985
CQ-MS-004,233,周家庙,116.777,36.3957
CQ-MS-005,234,三合庄,116.785,36.376
CQ-MS-006,235,北李庄,116.765,36.3873
CQ-MS-007,236,杨土,116.81,36.3556
CQ-MS-008,237,龙凤庄&黄路山,116.753,36.4238
CQ-MS-009,238,关王庙&于家庄,116.786,36.3672
CQ-XL-001,239,胡林坡,116.656,36.392
CQ-XL-002,240,大桥,116.665,36.3951
CQ-XL-003,241,松竹店,116.673,36.399
CQ-XL-004,242,陈家峪,116.683,36.3825
CQ-XL-005,243,中黄崖,116.659,36.3661
CQ-XL-006,244,北黄崖,116.66,36.3698
CQ-WFS-001,245,李店,116.819,36.4136
CQ-WFS-002,246,葛条峪,116.834,36.3731
CQ-WFS-003,247,展庄,116.823,36.4217
CQ-WFS-004,248,五峰山街道张庄,116.827,36.3817
CQ-WFS-005,249,后太平,116.824,36.384
CQ-WFS-006,250,北套,116.783,36.4771
CQ-GDZ-001,251,董洼,116.636,36.5332
CQ-GDZ-002,252,东马,116.673,36.4554
CQ-GDZ-003,253,归德镇前刘,116.659,36.5237
CQ-GDZ-004,254,归德镇张庄,116.632,36.5019
CQ-GDZ-005,255,南赵庄,116.692,36.4229
CQ-GDZ-006,256,归德镇平房,116.707,36.5075
SH-YHM-006,257,亓家,117.178,37.1862
CQ-PAJD-002,258,老楼子&乌鸦刘庄,116.749,36.6148
CQ-PAJD-003,259,马店&后孙,116.776,36.6124
CQ-PAJD-004,260,平安街道西大张,116.73,36.6039
CQ-WD-001,261,贾庄,116.985,36.3389
CQ-WD-002,262,刁庄,117.027,36.3151
CQ-ZX-001,263,张夏镇小刘,116.905,36.4248
CQ-ZX-002,264,诗庄,117.008,36.4033
CQ-ZX-003,265,西野老,117.006,36.3847
CQ-ZX-004,266,东野老,117.015,36.3847
CQ-ZX-005,267,车箱峪,116.929,36.4707
LC-LB-001,268,北峪&青杨峪,117.115,36.467
LC-LB-002,269,小槲疃,117.192,36.3943
LC-LB-003,270,石棚峪,117.099,36.4268
LC-LB-004,271,鹿宝泉,117.1,36.4669
LC-LB-005,272,三岔,117.117,36.4681
LC-LB-006,273,柳埠镇石匣,117.077,36.4381
LC-LB-007,274,下海,117.148,36.4668
LC-LB-008,275,于科,117.168,36.3751
LC-XY-001,276,叶家坡,117.215,36.4666
LC-XY-002,277,北龙湾,117.239,36.5673
LC-ZG-001,278,东董家庄,117.057,36.5246
LC-GG-001,279,两河,117.186,36.6017
LC-GG-002,280,燕棚窝,117.184,36.5901
LC-GE-001,281,陈家,117.08,36.3572
LC-JXC-001,282,付家峪,117.133,36.4991
LC-JXC-002,283,仁里,117.191,36.5546
LC-JXC-003,284,井北,117.2,36.5438
LC-CS-001,285,韩家峪,117.323,36.6025
LC-CS-002,286,老树峪,117.287,36.5815
LC-CS-003,287,彩石镇平房,117.34,36.5978
TQ-SZD-001,288,石门孙,116.953,36.8374
TQ-SZD-002,289,小吴,116.961,36.8376
TQ-DQ-001,290,宅胡,116.972,36.8197
TQ-DQ-004,291,杏园,116.993,36.8235
ZQ-WZ-006,292,文祖东张村,117.596,36.5636
ZQ-PJ-009,293,曹家,117.631,36.7302
LC-LB-009,294,长峪村,117.128,36.3574
PY-XZ-006,295,西湿口山,116.414,36.1106
PY-XZ-007,296,刘家庄,116.381,36.1141
PY-XZ-008,297,廉庄,116.411,36.124
PY-XZ-009,298,马跑泉,116.395,36.1158
PY-XZ-010,299,东湿口村,116.412,36.1181
PY-XZ-011,300,前科庄,116.445,36.0876
PY-XZ-012,301,刁鹅岭&焦庄,116.428,36.0828
PY-XZ-013,302,张小山,116.427,36.0916
PY-XZ-012,303,许小山,116.42,36.1014
PY-KC-006,305,值金寨,116.424,36.1857
PY-KC-007,306,柿子峪,116.367,36.1699
PY-KC-008,307,团山沟,116.368,36.1631
PY-KC-009,308,大荆山,116.411,36.1907
PY-KC-010,309,安子山&尚辛庄&后大峪,116.398,36.1753
PY-HF-009,312,白雁村,116.339,36.1158
PY-HF-010,313,前杨河村,116.31,36.1268
PY-HF-011,314,东池,116.297,36.1043
PY-HF-012,315,苗海,116.28,36.14
PY-HF-013,316,东峪南崖,116.288,36.0953
PY-HF-014,317,洪范南张村,116.277,36.15
PY-HF-015,318,任庄村,116.282,36.0597
PY-HF-016,319,陶峪村,116.329,36.1413
PY-HF-017,320,后杨河村,116.322,36.135
PY-HF-018,321,小黄崖,116.329,36.1403
PY-HF-019,322,大黄崖,116.356,36.1388
PY-DE-004,323,北张村,116.296,36.1777
PY-DE-005,324,杨山村,116.315,36.2146
PY-DE-006,325,直东峪,116.352,36.1812
PY-DE-007,326,西南坝村,116.259,36.1616
PY-DE-008,327,窑头,116.294,36.1634
PY-DE-009,328,孟庄,116.299,36.1718
PY-DE-010,329,臧庙,116.291,36.1988
PY-DE-011,330,司桥&贾庄,116.287,36.2063
PY-DE-012,331,侯庄,116.317,36.2019
PY-DE-013,332,辛庄,116.324,36.1996
PY-DE-014,333,三合,116.312,36.2035
PY-DE-016,335,小庙头,116.282,36.1868
PY-AC-007,336,常天井,116.521,36.2701
PY-AC-008,337,兴隆村&虎豹川,116.533,36.3084
PY-AC-009,338,新村村&王营村,116.522,36.3544
PY-AC-010,339,胜利村,116.497,36.3472
PY-YSJD-009,340,石庄2,116.462,36.3133
PY-YSJD-005,341,毕庄,116.446,36.2351
PY-YSJD-006,342,洪口,116.483,36.2408
PY-YSJD-007,343,西蛮子,116.467,36.3083
PY-YSJD-008,344,分水岭,116.46,36.2902
PY-JS-005,345,李山头,116.442,36.2706
PY-MG-006,346,玫瑰镇焦庄,116.393,36.2411
PY-MG-007,347,李庄,116.418,36.2202
PY-MG-008,348,丁口,116.294,36.239
TQ-DQ-004,351,西营子,116.988,36.8549
TQ-DQ-006,353,坡西,116.978,36.7847
TQ-SZD-003,356,彭家庄,116.971,36.8092
TQ-SZD-004,357,高王,116.952,36.8283
LC-LB-010,360,田褚村,117.11,36.4374
SH-HM-006,361,站南村,117.243,37.523
SH-HM-007,362,赵寨村,117.263,37.4857
SH-YHM-012,363,前昝村,117.098,37.1671
SH-ZF-004,364,老窦,117.105,37.3273
SH-ZF-005,365,东王,117.088,37.3529
SH-ZF-006,366,树家,117.096,37.3431
SH-ZF-007,367,王洪九,117.087,37.368
SH-ZF-008,368,王新,117.106,37.3672
SH-ZF-009,369,王老道,117.097,37.3618
SH-ZF-010,370,夏坡,117.134,37.3472
SH-ZF-011,371,穆家,117.059,37.3334
SH-ZF-012,372,孙寨,117.073,37.3574
SH-LSS-009,377,三合庄村,117.327,37.3789
SH-LSS-010,378,黄马村,117.329,37.4097
SH-LSS-011,379,高明吴村,117.383,37.3796
SH-LSS-012,380,东高村,117.36,37.3464
SH-LSS-013,381,胡家村,117.361,37.3815
SH-LSS-014,382,霍庙村,117.362,37.4181
SH-LSS-015,383,油坊张,117.37,37.4261
SH-LSS-016,384,倪家村,117.346,37.3357
SH-ZL-008,385,前进西村,117.304,37.2793
SH-ZL-009,386,赵西村,117.396,37.2697
SH-ZL-010,387,刘洪仓村,117.359,37.2785
SH-ZL-011,388,西任村,117.396,37.2697
SH-ZL-012,389,前进东,117.307,37.28
SH-YX-011,390,徐集,117.191,37.3762
SH-YX-012,391,高坊,117.185,37.3959
SH-YX-013,392,郭尔玉,117.123,37.4113
SH-YX-014,393,邢家,117.204,37.4372
SH-YX-015,394,小庄,117.046,37.3255
SH-HR-003,395,周集村,117.015,37.3847
SH-HR-005,396,怀仁闫家村,117.046,37.385
SH-HR-006,397,王轴芝村,117.083,37.4036
SH-HR-007,398,王虎村,117.078,37.3888
SH-HR-008,399,小街子村,117.08,37.3766
SH-HR-009,400,大辛,117.096,37.4123
SH-HR-010,401,东韩,117.09,37.399
SH-HR-011,402,刚坊,117.074,37.3793
SH-HR-012,403,怀仁刚家,117.077,37.3899
SH-HR-013,404,怀仁后刘,117.066,37.3892
SH-HR-014,405,怀仁街,117.05,37.4063
SH-HR-015,406,生张,117.079,37.3977
SH-HR-016,407,洼李,117.05,37.4003
SH-HR-017,408,西韩,117.058,37.3513
SH-HR-018,409,杨家,117.047,37.3849
SH-HR-019,410,怀仁曹家,117.085,37.4245
SH-HR-020,411,储家,117.015,37.3602
SH-HR-021,412,炊家,117.048,37.372
SH-HR-022,413,东李堂,117.027,37.4272
SH-HR-023,414,东信,117.034,37.4097
SH-HR-024,415,董家,117.083,37.4288
SH-HR-025,416,付庙,117.015,37.3807
SH-HR-026,417,耿家,117.043,37.4296
SH-HR-027,418,古城,117.018,37.3702
SH-HR-028,419,河西韩,117.024,37.3888
SH-HR-029,420,河西孙,117.021,37.3855
SH-HR-030,421,河西吴,117.034,37.3932
SH-HR-031,422,后寇,117.087,37.4279
SH-HR-032,423,井家,117.011,37.3861
SH-HR-033,424,九廪庄,117.046,37.429
SH-HR-034,425,李辉芝,117.04,37.378
SH-HR-035,426,李楼,117.073,37.4183
SH-HR-036,427,芦沟庄,117.038,37.3682
SH-HR-037,428,马家,117.039,37.4396
SH-HR-038,429,怀仁镇孟家,117.035,37.4275
SH-HR-039,430,南小赵,117.056,37.372
SH-HR-040,431,前寇,117.089,37.4267
SH-HR-041,432,全家,117.044,37.4174
SH-HR-042,433,三皇庙,117.02,37.4274
SH-HR-043,434,宋家,117.089,37.4314
SH-HR-044,435,田东,117.07,37.4177
SH-HR-045,436,田西,117.068,37.416
SH-HR-046,437,王尔茂,117.035,37.4282
SH-HR-047,438,王太环,117.037,37.3748
SH-HR-048,439,吴糖坊,117.04,37.3828
SH-HR-049,440,西李堂,117.025,37.4283
SH-HR-050,441,西信,117.024,37.4125
SH-HR-051,442,小刘,117.073,37.4256
SH-HR-052,443,肖东,117.056,37.4142
SH-HR-053,444,肖西,117.073,37.4256
SH-HR054,445,杨武镇,117.046,37.3637
SH-HR-055,446,油坊孙,117.043,37.3729
SH-HR-056,447,朱家,117.102,37.4123
JY-TP-008,448,新路桥,116.955,37.0043
JY-TP-009,451,小栏庄,116.96,36.9838
JY-TP-010,452,万胜李,117.033,36.9569
JY-TP-011,453,秦家坟,117.055,37.0089
JY-TP-012,454,大寺城,117.075,36.989
